created_at,entry_id,Temperature,Humidity
2021-11-09 17:03:39 UTC,13533,24.0,57.0
2021-11-09 17:03:55 UTC,13534,24.0,57.0
2021-11-09 17:04:12 UTC,13535,24.0,57.0
2021-11-09 17:04:29 UTC,13536,24.0,57.0
2021-11-09 17:04:45 UTC,13537,24.0,57.0
2021-11-09 17:05:02 UTC,13538,24.0,57.0
2021-11-09 17:05:19 UTC,13539,24.0,57.0
2021-11-09 17:05:35 UTC,13540,24.0,57.0
2021-11-09 17:05:52 UTC,13541,24.0,57.0
2021-11-09 17:06:09 UTC,13542,24.0,57.0
2021-11-09 17:06:25 UTC,13543,24.0,57.0
2021-11-09 17:06:42 UTC,13544,24.0,57.0
2021-11-09 17:06:59 UTC,13545,24.0,57.0
2021-11-09 17:07:16 UTC,13546,24.0,57.0
2021-11-09 17:07:40 UTC,13547,24.0,57.0
2021-11-09 17:07:57 UTC,13548,24.0,57.0
2021-11-09 17:08:13 UTC,13549,24.0,57.0
2021-11-09 17:08:30 UTC,13550,24.0,57.0
2021-11-09 17:08:46 UTC,13551,24.0,57.0
2021-11-09 17:09:03 UTC,13552,24.0,57.0
2021-11-09 17:09:29 UTC,13553,24.0,57.0
2021-11-09 17:09:46 UTC,13554,24.0,57.0
2021-11-09 17:10:03 UTC,13555,24.0,57.0
2021-11-09 17:10:19 UTC,13556,24.0,57.0
2021-11-09 17:10:43 UTC,13557,24.0,57.0
2021-11-09 17:11:00 UTC,13558,24.0,57.0
2021-11-09 17:11:26 UTC,13559,24.0,57.0
2021-11-09 17:11:42 UTC,13560,24.0,57.0
2021-11-09 17:11:59 UTC,13561,24.0,57.0
2021-11-09 17:12:18 UTC,13562,24.0,57.0
2021-11-09 17:12:34 UTC,13563,24.0,57.0
2021-11-09 17:12:51 UTC,13564,24.0,57.0
2021-11-09 17:13:07 UTC,13565,24.0,58.0
2021-11-09 17:13:31 UTC,13566,24.0,58.0
2021-11-09 17:13:48 UTC,13567,24.0,58.0
2021-11-09 17:14:05 UTC,13568,24.0,58.0
2021-11-09 17:14:21 UTC,13569,24.0,58.0
2021-11-09 17:14:43 UTC,13570,24.0,58.0
2021-11-09 17:14:59 UTC,13571,24.0,58.0
2021-11-09 17:15:16 UTC,13572,24.0,58.0
2021-11-09 17:15:33 UTC,13573,24.0,58.0
2021-11-09 17:15:49 UTC,13574,24.0,58.0
2021-11-09 17:16:08 UTC,13575,24.0,58.0
2021-11-09 17:16:26 UTC,13576,24.0,58.0
2021-11-09 17:16:43 UTC,13577,24.0,58.0
2021-11-09 17:17:00 UTC,13578,24.0,58.0
2021-11-09 17:17:16 UTC,13579,24.0,58.0
2021-11-09 17:17:32 UTC,13580,24.0,58.0
2021-11-09 17:17:49 UTC,13581,24.0,58.0
2021-11-09 17:18:05 UTC,13582,24.0,58.0
2021-11-09 17:18:24 UTC,13583,24.0,58.0
2021-11-09 17:18:41 UTC,13584,24.0,58.0
2021-11-09 17:19:02 UTC,13585,24.0,58.0
2021-11-09 17:19:19 UTC,13586,24.0,58.0
2021-11-09 17:19:35 UTC,13587,24.0,58.0
2021-11-09 17:19:52 UTC,13588,24.0,58.0
2021-11-09 17:20:08 UTC,13589,24.0,58.0
2021-11-09 17:20:27 UTC,13590,24.0,58.0
2021-11-09 17:20:47 UTC,13591,24.0,58.0
2021-11-09 17:21:03 UTC,13592,24.0,58.0
2021-11-09 17:21:19 UTC,13593,24.0,58.0
2021-11-09 17:21:36 UTC,13594,24.0,58.0
2021-11-09 17:21:53 UTC,13595,24.0,58.0
2021-11-09 17:22:12 UTC,13596,24.0,58.0
2021-11-09 17:22:28 UTC,13597,24.0,58.0
2021-11-09 17:22:45 UTC,13598,24.0,58.0
2021-11-09 17:23:01 UTC,13599,24.0,58.0
2021-11-09 17:23:18 UTC,13600,24.0,58.0
2021-11-09 17:23:34 UTC,13601,24.0,58.0
2021-11-09 17:24:01 UTC,13602,24.0,58.0
2021-11-09 17:24:17 UTC,13603,24.0,58.0
2021-11-09 17:24:33 UTC,13604,24.0,58.0
2021-11-09 17:24:55 UTC,13605,24.0,58.0
2021-11-09 17:25:11 UTC,13606,24.0,58.0
2021-11-09 17:25:28 UTC,13607,24.0,58.0
2021-11-09 17:25:47 UTC,13608,24.0,58.0
2021-11-09 17:26:03 UTC,13609,24.0,58.0
2021-11-09 17:26:22 UTC,13610,24.0,58.0
2021-11-09 17:26:39 UTC,13611,24.0,58.0
2021-11-09 17:26:55 UTC,13612,24.0,58.0
2021-11-09 17:27:14 UTC,13613,24.0,58.0
2021-11-09 17:27:31 UTC,13614,24.0,58.0
2021-11-09 17:27:55 UTC,13615,24.0,58.0
2021-11-09 17:28:14 UTC,13616,24.0,58.0
2021-11-09 17:28:35 UTC,13617,24.0,58.0
2021-11-09 17:28:52 UTC,13618,24.0,58.0
2021-11-09 17:29:08 UTC,13619,24.0,58.0
2021-11-09 17:29:25 UTC,13620,24.0,58.0
2021-11-09 17:29:46 UTC,13621,24.0,58.0
2021-11-09 17:30:02 UTC,13622,24.0,58.0
2021-11-09 17:30:26 UTC,13623,24.0,58.0
2021-11-09 17:30:45 UTC,13624,24.0,58.0
2021-11-09 17:31:05 UTC,13625,24.0,58.0
2021-11-09 17:31:22 UTC,13626,24.0,58.0
2021-11-09 17:31:38 UTC,13627,24.0,58.0
2021-11-09 17:31:54 UTC,13628,24.0,58.0
2021-11-09 17:32:11 UTC,13629,24.0,58.0
2021-11-09 17:32:30 UTC,13630,24.0,58.0
2021-11-09 17:32:46 UTC,13631,24.0,58.0
2021-11-09 17:33:05 UTC,13632,24.0,58.0
